Size,Sorted,Random,Reverse,Bubble,Selection,Insertion,Merge,Quick,Heap,Best
110,0,0,1,0.0012720016756466905,0.00045032338602970406,0.0012547773103115975,0.0004469092005025698,0.0009970221713562347,0.00041253731982542736,5
120,1,0,0,0.0007690624887345074,0.0006377124557403528,1.8756644350855578e-05,0.0005064900754308071,0.0018381972272856896,0.0005440088022513693,2
120,0,1,0,0.0016186606554853386,0.0007127905521644694,0.0008628365515517731,0.0006002040327239294,0.00024384095602962864,0.0005627651603854432,4
120,0,0,1,0.0020070608351983373,0.0006189941644382362,0.001425564503755604,0.0005627302419380838,0.0011066946805882998,0.0004688943562959852,5
130,1,0,0,0.0008174005813499421,0.0005486110717019427,2.0314875132705827e-05,0.00048765094444562615,0.0017270254375720674,0.0006705167544678687,2
130,0,1,0,0.0015645802253554484,0.0005892386517072065,0.0007111434043616405,0.0005079729504331035,0.0002844572377297906,0.000548555885086754,4
130,0,0,1,0.0028039711504515806,0.0006705505485187426,0.0013003966278155542,0.00042668709674334183,0.0012597045600801823,0.000508014805450241,3
140,1,0,0,0.0009847689075630252,0.0006783419296521099,4.3770512279008285e-05,0.0005689745857602074,0.0022103085237390853,0.0007221615281091685,2
140,0,1,0,0.001553758853623847,0.0007002764389294537,0.0007659266976749196,0.0005252110857923492,0.00017507169760909734,0.00045950539639683997,4
140,0,0,1,0.002341614717862853,0.0007002911313909109,0.0015318547310281534,0.0005033296697279986,0.0012035970928288308,0.000393911570060153,5
150,1,0,0,0.0010557436012290978,0.000873254226134704,3.090993062153951e-05,0.0005846990121377481,0.0018967189588346282,0.0004960828357272678,2
150,0,1,0,0.0015146087955784154,0.0006738922617456934,0.0008334880834585196,0.0005672067493289798,0.00018847060275149416,0.0005219322783094985,4
150,0,0,1,0.002248955202532244,0.0007010025305074972,0.00158921519557277,0.00047889414492312135,0.0011455375511009057,0.00040464787869840056,5
160,1,0,0,0.0010956439971923828,0.00100006103515625,2.5000381469726563e-05,0.0005999935150146484,0.0023500030517578127,0.0006250030517578125,2
160,0,1,0,0.0018500038146972656,0.0009499881744384766,0.0010000076293945313,0.0006000041961669922,0.0002499923706054688,0.0005935787200927735,4
160,0,0,1,0.0026499961853027345,0.0008750263214111328,0.0019499767303466796,0.0006,0.001999935150146484,0.00062506103515625,3
170,1,0,0,0.0019397796416769223,0.0013020788731218196,5.314504208207941e-05,0.0009352248542162837,0.002683948091909188,0.000664327420344969,2
170,0,1,0,0.0027074152920521844,0.0013020784676480456,0.001381744332864982,0.0007175340944406938,0.0002657292651481369,0.0005846031669045792,4
170,0,0,1,0.003330321133542223,0.001514618899546513,0.0024182001749674478,0.0007174169125200129,0.0018070405032359013,0.0006908835196981624,5
180,1,0,0,0.0016892063725102056,0.0011542685397036441,2.8159596898534278e-05,0.0006475251000206749,0.0034909875543267877,0.0009009047671481295,2
180,0,1,0,0.0025337820654516823,0.001013503633103929,0.0011542891596888637,0.0007319802636498804,0.0002815332498636332,0.0006192971994211008,4
180,0,0,1,0.00354730545937478,0.0011543398504858617,0.0025819507805076806,0.0006193693693693693,0.0018862522400177276,0.0006193672214542423,5
190,1,0,0,0.001455554490760252,0.0012179277695630439,2.9626454690563362e-05,0.000683293596419998,0.0030893576915726464,0.0007426253743044777,2
190,0,1,0,0.002465553610043834,0.0012476113359284492,0.0012832191053905415,0.0007129354621974234,0.00035646886426686335,0.0008019721100085589,4
190,0,0,1,0.004010287074535065,0.0013961497368468077,0.002940828809266761,0.000683223793261858,0.0021684822474142443,0.0006238077076668975,5
200,1,0,0,0.0018235392570495606,0.0013437504768371582,6.250905990600586e-05,0.0007187395095825196,0.0035312457084655763,0.0008437724113464355,2
200,0,1,0,0.003031235694885254,0.0012812414169311524,0.002187432289123535,0.0008124938011169434,0.00034383058547973635,0.0007187461853027343,4
200,0,0,1,0.004312504768371582,0.001375,0.003156250476837158,0.000781247615814209,0.0023125009536743165,0.0007187490463256836,5
